TRK_VERSION,0.5
Images,ExpID2976_P3_TL01.png,,ExpID2976_P3_TL02.png,,ExpID2976_P3_TL03.png,,ExpID2976_P3_TL04.png,,ExpID2976_P3_TL05.png,,ExpID2976_P3_TL06_grey_adj.png,,ExpID2976_P3_TL07_grey_adj.png,
Point 14,6.944e-05,8.603e-05,0.00011081,0.00013839,0.00014119,0.00015659,0.00024185,0.00025655,0.00029785,0.00030163,0.00034685,0.00030443,0.00039249,0.00031563
Point 15,7.028e-05,7.714e-05,0.00011256,0.00012537,0.00014476,0.00013461,0.00024696,0.00021889,0.00030464,0.00025053,0.00036064,0.00023765,0.00040852,0.00023401
Point 16,7.084e-05,7.084e-05,0.00011158,0.00011627,0.00014294,0.00011977,0.00024514,0.00019481,0.00030114,0.00021721,0.00035602,0.00019201,0.00040782,0.00017745
Point 17,7.574e-05,6.979e-05,0.00011865,0.00011452,0.00015463,0.00011746,0.00025893,0.00019068,0.00031829,0.0002114,0.00037793,0.00018424,0.00043337,0.00016744
Point 18,8.295e-05,6.937e-05,0.00013076,0.00011361,0.0001736,0.00011585,0.00028504,0.00018865,0.00035252,0.00020909,0.0004186,0.00017857,0.00048468,0.00015925
Point 19,8.442e-05,7.266e-05,0.00013314,0.000119,0.00017766,0.00012502,0.00029036,0.00020286,0.00035896,0.00022918,0.00042644,0.00020398,0.00049364,0.00018886
Point 20,6.916e-05,8.008e-05,0.0001106,0.00012908,0.00014056,0.00014182,0.0002408,0.00023156,0.00029596,0.00026768,0.00034552,0.00025984,0.00038864,0.00026124
Point 21,8.834e-05,7.203e-05,0.00013797,0.00011851,0.00018683,0.00012509,0.00030387,0.00020195,0.00037639,0.00022631,0.00044695,0.00019971,0.00051695,0.00018179
Point 22,9.163e-05,7.875e-05,0.00014252,0.00012768,0.00019278,0.00014028,0.00031052,0.00022666,0.00038416,0.00026054,0.0004564,0.00024626,0.00052976,0.00023982
Point 23,9.058e-05,9.352e-05,0.00013685,0.00014987,0.00018235,0.00017955,0.00029729,0.00029589,0.00036449,0.00035413,0.00042469,0.00038241,0.00049469,0.00041349
Point 24,9.156e-05,9.59e-05,0.00013769,0.00015337,0.00018347,0.00018753,0.00029813,0.00031017,0.00036533,0.00037513,0.00042497,0.00041097,0.00049413,0.00044821
Point 25,9.023e-05,0.0001085,0.00013524,0.00017045,0.00017962,0.00021917,0.00029246,0.00036743,0.00035658,0.00045591,0.0004067,0.00052927,0.00046858,0.00060655
Point 26,7.77e-05,5.558e-05,0.00012201,9.443e-05,0.00015855,8.295e-05,0.00026229,0.00014259,0.00032249,0.00014679,0.00038073,0.00010339,0.00043813,6.923e-05
Point 27,8.281e-05,5.537e-05,0.0001295,9.282e-05,0.00016926,8.05e-05,0.00027608,0.00014014,0.00034034,0.00014462,0.00039942,0.00010122,0.00045822,6.706e-05
Point 28,8.505e-05,5.866e-05,0.00013328,9.856e-05,0.00017612,8.932e-05,0.00028448,0.00015176,0.00035168,0.00015918,0.0004144,0.0001169,0.0004774,8.47e-05
Point 29,8.393e-05,6.699e-05,0.00013223,0.00010983,0.00017605,0.00010857,0.00028665,0.00017773,0.00035441,0.00019439,0.00042077,0.00016107,0.00048601,0.00013839
Point 30,6.972e-05,6.93e-05,0.00010934,0.00011396,0.00013818,0.00011578,0.00023828,0.00018914,0.00029274,0.00020748,0.00034594,0.00017892,0.00039578,0.000161
Point 31,6.839e-05,6.251e-05,0.00010787,0.00010353,0.00013601,9.821e-05,0.00023429,0.00016261,0.00028665,0.00017199,0.00033509,0.00013363,0.00038353,0.00010479
Point 32,7.007e-05,5.6e-05,0.0001106,9.401e-05,0.00014224,8.211e-05,0.0002436,0.00014021,0.00029806,0.00014385,0.00035098,0.00010045,0.00040334,6.685e-05
Point 33,7.343e-05,5.257e-05,0.00011613,8.967e-05,0.00014917,7.427e-05,0.00025109,0.00013111,0.00030723,0.00013069,0.00036071,8.561e-05,0.00041391,4.949e-05
Point 34,8.225e-05,4.389e-05,0.00012803,7.539e-05,0.00016247,5.383e-05,0.00026747,0.00010493,0.00032781,0.00010087,0.00037709,4.977e-05,0.00043141,1.029e-05
Point 35,7.343e-05,5.11e-05,0.00011662,8.701e-05,0.00014987,6.993e-05,0.00025165,0.00012551,0.00030765,0.00012383,0.00036113,7.819e-05,0.00041349,3.955e-05
Point 36,8.288e-05,4.879e-05,0.00012908,8.379e-05,0.00016667,6.622e-05,0.00027167,0.00012082,0.00033285,0.00011942,0.00038759,7.126e-05,0.00044163,3.234e-05
Point 37,7.287e-05,4.914e-05,0.00011459,8.344e-05,0.00014574,6.524e-05,0.00024654,0.00011858,0.00030016,0.00011634,0.0003479,6.902e-05,0.00040026,3.038e-05
Point 38,8.358e-05,4.641e-05,0.00012999,7.91e-05,0.00016786,5.866e-05,0.000273,0.00011116,0.00033628,0.00010752,0.00038822,5.796e-05,0.00044226,1.904e-05
Point 39,7.154e-05,0.00011158,0.00011109,0.0001757,0.00014245,0.00022547,0.00024213,0.00037751,0.00029925,0.00046725,0.00034433,0.00054145,0.00039361,0.00062853
Point 40,7.343e-05,9.702e-05,0.00011641,0.00015442,0.00014903,0.00018501,0.00025193,0.00030555,0.00031101,0.00036533,0.00036393,0.00039921,0.00041909,0.00043841
Point 41,6.839e-05,9.954e-05,0.00010836,0.00015897,0.00013734,0.0001932,0.0002359,0.0003199,0.00029162,0.00038752,0.00034062,0.00042952,0.00039018,0.000476
Point 42,6.559e-05,5.187e-05,0.00010507,8.757e-05,0.00013405,7.189e-05,0.00023317,0.00012761,0.00028483,0.00012705,0.00033215,8.225e-05,0.00038115,4.557e-05
Point 43,6.37e-05,5.166e-05,0.00010157,8.68e-05,0.00012789,7.084e-05,0.00022491,0.00012628,0.00027657,0.00012572,0.00031829,7.868e-05,0.00036561,4.088e-05
Point 44,6.524e-05,4.648e-05,0.00010409,7.819e-05,0.00013153,5.971e-05,0.00022953,0.00011263,0.00028287,0.00010983,0.00032375,6.111e-05,0.00037527,1.967e-05
Point 45,6.216e-05,6.097e-05,9.87e-05,0.00010059,0.00012222,9.233e-05,0.00021868,0.00015365,0.00026796,0.00015967,0.00030912,0.00011795,0.0003514,8.939e-05
Point 46,8.897e-05,5.957e-05,0.00013958,9.821e-05,0.00018543,8.862e-05,0.00029799,0.00014952,0.00036939,0.00015764,0.00043267,0.00011424,0.00049847,7.952e-05
Point 47,9.184e-05,6.412e-05,0.00014238,0.00010605,0.00019173,0.00010164,0.00030681,0.00016688,0.00038017,0.00017892,0.00044681,0.0001386,0.00051597,0.00010892
Point 48,9.527e-05,6.762e-05,0.00014777,0.00010997,0.00020055,0.00010899,0.00032053,0.00017731,0.00040033,0.00019355,0.00047201,0.00015407,0.00054789,0.00012439
Point 49,9.506e-05,7.042e-05,0.00014651,0.0001155,0.00019943,0.00011816,0.00032011,0.00019096,0.00039739,0.00021224,0.00046879,0.00017836,0.00054271,0.00015512
Point 50,9.562e-05,7.749e-05,0.00014798,0.00012691,0.00020195,0.0001393,0.00032431,0.00022568,0.00040215,0.000259,0.00047831,0.00024192,0.00055895,0.00023184
Point 51,8.974e-05,4.816e-05,0.00013951,7.98e-05,0.00017962,5.845e-05,0.00028882,0.00011039,0.00035546,0.00010857,0.00040726,5.705e-05,0.00046326,1.701e-05
Point 52,9.331e-05,5.124e-05,0.00014441,8.47e-05,0.00018837,6.601e-05,0.00029939,0.00011963,0.00037023,0.00011963,0.00042651,6.895e-05,0.00048839,2.975e-05
Point 53,9.156e-05,5.663e-05,0.00014273,9.436e-05,0.00018907,8.19e-05,0.00030191,0.0001393,0.00037471,0.00014378,0.00043715,9.618e-05,0.00050211,5.922e-05
Point 54,6.202e-05,7.133e-05,9.786e-05,0.00011669,0.00011725,0.00011984,0.00020881,0.00019516,0.00025417,0.00021462,0.00028945,0.0001897,0.00032641,0.00017094
Point 55,6.286e-05,7.91e-05,9.996e-05,0.00012908,0.00012089,0.00014133,0.00021315,0.00022967,0.00026033,0.00026621,0.00029337,0.00025865,0.00031661,0.00026397
Point 56,6.188e-05,8.624e-05,0.00010059,0.00013895,0.00012215,0.00016009,0.00021315,0.00026257,0.00026299,0.00031017,0.00029211,0.00031241,0.00031647,0.00031969
Point 57,6.762e-05,8.834e-05,0.00010689,0.00014175,0.00013503,0.00016415,0.00023373,0.00027069,0.00028749,0.00032151,0.00033117,0.00033019,0.00037093,0.00034671
Point 58,8.89e-05,0.00011228,0.00013398,0.00017696,0.00017556,0.00022925,0.00028616,0.00038157,0.00034818,0.00047537,0.00039662,0.00055629,0.00045402,0.00064421
Point 59,6.846e-05,0.00010934,0.00010794,0.00017276,0.00013692,0.00022015,0.00023464,0.00036939,0.00029022,0.00045675,0.00033502,0.00052815,0.00038178,0.00061131
Point 60,,,0.00013097,8.743e-05,0.00017017,7.063e-05,0.00027601,0.00012621,0.00034027,0.00012621,0.00039767,7.917e-05,0.00045423,4.249e-05
Point 61,,,0.00014182,8.918e-05,0.0001855,7.434e-05,0.00029624,0.00013076,0.00036666,0.00013454,0.0004263,8.638e-05,0.00048762,4.858e-05
Point 62,,,0.00011018,0.00010108,0.00014154,9.352e-05,0.00024192,0.0001561,0.00029652,0.00016436,0.00035,0.00012516,0.00040236,9.604e-05
Point 63,,,0.00011865,0.00010248,0.00015575,9.59e-05,0.00026033,0.00015974,0.00031969,0.00017024,0.00037821,0.00013244,0.00043365,0.00010472
Point 64,,,0.00011984,0.0001043,0.0001575,9.926e-05,0.00026278,0.0001652,0.00032354,0.00017752,0.0003843,0.00014168,0.00044058,0.0001162
Point 65,,,0.00013013,0.00010444,0.00017283,9.912e-05,0.00028175,0.0001645,0.00034853,0.00017752,0.00041041,0.00014028,0.00047201,0.00011424
Point 66,,,0.00012257,0.00011592,0.00016072,0.00011998,0.00026684,0.00019432,0.00032844,0.00021742,0.00039144,0.00019166,0.00044996,0.00017682
Point 67,,,0.00011928,0.00012656,0.00015603,0.00013713,0.00026075,0.00022309,0.00032053,0.00025711,0.00038129,0.00024423,0.00043645,0.00024367
Point 68,,,0.0001288,0.00016303,0.00017003,0.0002037,0.00028049,0.0003388,0.00034209,0.00041132,0.00039445,0.0004634,0.00045605,0.00051716
Point 69,,,0.00013545,0.00016303,0.00017899,0.00020384,0.00029085,0.0003388,0.00035441,0.00041104,0.00040845,0.00046536,0.00047341,0.00051884
Point 70,,,0.00010248,0.00011578,0.00012684,0.00011886,0.00022316,0.00019362,0.00027342,0.00021504,0.0003171,0.00018872,0.00036106,0.00017416
Point 71,,,0.0001043,0.00012824,0.00013041,0.00013888,0.00022743,0.00022568,0.00027993,0.00026068,0.00032081,0.00025144,0.00035497,0.00025116
Point 72,,,9.688e-05,0.00010822,0.0001169,0.00010444,0.00021112,0.0001729,0.00025816,0.00018592,0.00029596,0.00015064,0.0003374,0.00012376
Point 73,,,0.00010843,0.00010857,0.00013769,0.00010689,0.00023653,0.00017605,0.00028931,0.00018963,0.00033859,0.00015547,0.00038619,0.00013307
Point 74,,,,,0.00014238,0.00012656,0.00024472,0.00020538,0.00030128,0.0002317,0.00035672,0.00021238,0.000406,0.00020174
Point 75,,,,,0.00015904,0.00013076,0.00026376,0.00021112,0.00032466,0.00023996,0.0003871,0.00022176,0.00044478,0.0002142
Point 76,,,,,0.00016184,0.00012838,0.0002688,0.00020874,0.00033012,0.00023646,0.00039396,0.0002163,0.00045388,0.00020566
Point 77,,,,,0.00017374,0.0001316,0.00028574,0.00021322,0.0003514,0.00024248,0.0004158,0.000224,0.00048048,0.00021784
Point 78,,,,,0.00017612,0.00012236,0.00028812,0.00019796,0.0003556,0.00022106,0.00042252,0.00019334,0.00048804,0.00017514
Point 79,,,,,0.00016142,0.00012474,0.00026824,0.00020244,0.00033068,0.0002282,0.00039396,0.00020468,0.0004536,0.00019292
Point 80,,,,,0.0001351,7.945e-05,0.0002338,0.00013755,0.00028392,0.00013909,0.00033236,9.597e-05,0.00038136,6.125e-05
Point 81,,,,,0.00012817,9.338e-05,0.00022631,0.00015512,0.00027615,0.00016114,0.00032123,0.00012054,0.00036351,9.198e-05
Point 82,,,,,0.00014224,8.694e-05,0.00024318,0.00014756,0.0002968,0.00015316,0.00035,0.00011228,0.00040236,8.12e-05
Point 83,,,,,0.00015568,8.792e-05,0.00025914,0.00014882,0.00031836,0.0001547,0.00037688,0.00011326,0.00043232,8.134e-05
Point 84,,,,,0.00015596,7.686e-05,0.000259,0.00013426,0.0003178,0.00013608,0.00037408,9.156e-05,0.00042952,5.796e-05
Point 85,,,,,0.00016912,7.28e-05,0.0002751,0.0001302,0.00033796,0.00013146,0.00039536,8.61e-05,0.00045136,4.998e-05
Point 86,,,,,0.0001568,9.114e-05,0.00026152,0.00015288,0.00032172,0.00015932,0.00038052,0.00011928,0.00043596,8.988e-05
Point 87,,,,,0.00017374,9.296e-05,0.00028154,0.00015596,0.00034706,0.0001652,0.00040838,0.0001246,0.0004697,9.576e-05
Point 88,,,,,0.00015722,0.00010794,0.0002618,0.0001764,0.000322,0.00019152,0.00038108,0.0001582,0.0004368,0.0001358
Point 89,,,,,0.00017388,0.0001057,0.0002835,0.0001736,0.00034986,0.00018956,0.0004137,0.00015428,0.00047698,0.0001302
Point 90,,,,,0.00013874,0.00010472,0.00023828,0.00017164,0.00029148,0.0001848,0.00034328,0.00015064,0.0003934,0.00012572
Point 91,,,,,0.00015554,0.00010906,0.00025998,0.00017766,0.00031962,0.00019278,0.0003787,0.00016058,0.0004333,0.0001393
Point 92,,,,,0.00012474,0.00010724,0.00022134,0.00017626,0.0002709,0.00018998,0.00031346,0.00015694,0.00035854,0.00013398
Point 93,,,,,0.00012376,0.00011704,0.0002198,0.00019068,0.00026838,0.00021,0.00031038,0.00018312,0.00035182,0.00016436
Point 94,,,,,0.00011802,0.00012964,0.00020916,0.00021056,0.00025466,0.0002394,0.00028574,0.00022512,0.00031318,0.00022232
Point 95,,,,,0.00014126,0.00012894,0.00024178,0.00021014,0.00029736,0.00023758,0.00034972,0.0002205,0.00039592,0.00021322
Point 96,,,,,0.0001855,0.00010612,0.00029904,0.0001736,0.00036988,0.00018928,0.00043596,0.00015288,0.00050372,0.00012712
Point 97,,,,,0.00019082,0.00011662,0.00030646,0.00018984,0.00038066,0.00021112,0.00045066,0.00017892,0.00052318,0.00015568
Point 98,,,,,0.00018928,0.000133,0.00030562,0.00021364,0.00037898,0.00024248,0.00044982,0.00022148,0.0005229,0.00020972
Point 99,,,,,0.00020118,0.00012306,0.00032214,0.00019852,0.00040026,0.00022372,0.00047278,0.00019292,0.00054894,0.0001722
Point 100,,,,,0.00017556,0.0001379,0.00028728,0.00022288,0.00035448,0.0002562,0.00042028,0.00024304,0.00048636,0.000238
Point 101,,,,,0.00018928,0.00013622,0.00030646,0.0002184,0.00037898,0.0002492,0.00044954,0.000231,0.00052206,0.0002226
Point 102,,,,,0.00012894,0.00014084,0.0002247,0.00022988,0.00027678,0.00026726,0.00031542,0.00026138,0.00034566,0.00026474
Point 103,,,,,0.00012922,0.00015946,0.00022484,0.00026082,0.00027636,0.0003087,0.00031276,0.00031206,0.00034524,0.00032186
Point 104,,,,,0.0001302,0.0001519,0.00022666,0.00024738,0.00027902,0.00028994,0.00031878,0.00028882,0.00035294,0.00029498
Point 105,,,,,0.00014,0.00015302,0.00024024,0.00024948,0.00029638,0.0002912,0.00034594,0.00029148,0.00039074,0.0002982
Point 106,,,,,0.0001295,0.00014854,0.00022582,0.00024388,0.0002779,0.00028532,0.0003171,0.00028252,0.00034902,0.00028868
Point 107,,,,,0.00012138,0.0001533,0.00021294,0.0002513,0.00026152,0.00029512,0.00029204,0.00029344,0.000315,0.0002996
Point 108,,,,,0.00015792,0.00014294,0.00026292,0.00023296,0.00032256,0.00027188,0.00038276,0.00026516,0.0004382,0.00026824
Point 109,,,,,0.0001463,0.0001589,0.00024962,0.00026012,0.00030646,0.0003052,0.00036078,0.00030996,0.00041174,0.00032424
Point 110,,,,,0.00015995,0.00015484,0.00026789,0.0002527,0.00033005,0.00029722,0.00038941,0.00029918,0.00044597,0.00030926
Point 111,,,,,0.00017563,0.00015687,0.00028791,0.00025473,0.00035399,0.00029995,0.00041699,0.00030331,0.00048335,0.00031591
Point 112,,,,,0.0001603,0.00014861,0.0002688,0.00024297,0.00033138,0.00028539,0.00039158,0.00028287,0.00044842,0.00029155
Point 113,,,,,0.00017633,0.0001498,0.00028889,0.00024276,0.00035651,0.00028266,0.00042203,0.00027986,0.00048727,0.00028042
Point 114,,,,,0.00016324,0.00016688,0.00027216,0.00027468,0.00033404,0.00032564,0.00039284,0.00034104,0.00045276,0.00036176
Point 115,,,,,0.00015946,0.00019341,0.0002653,0.00032109,0.00032508,0.00038633,0.00037996,0.00043141,0.0004382,0.00047873
Point 116,,,,,0.0001519,0.00017787,0.00025732,0.00029267,0.0003164,0.00034867,0.00037128,0.00037135,0.00042812,0.00040075
Point 117,,,,,0.00016177,0.00017822,0.00026985,0.00029442,0.00033033,0.00035126,0.00038577,0.00037674,0.00044541,0.00040782
Point 118,,,,,0.00016205,0.00017962,0.00027041,0.00029708,0.00033145,0.00035602,0.00038689,0.00038374,0.00044569,0.00041846
Point 119,,,,,0.00017003,0.00018137,0.00028049,0.00029883,0.00034475,0.00035791,0.00040159,0.00038703,0.00046599,0.00041979
Point 120,,,0.00010626,0.00014644,0.00013524,0.0001722,0.00023324,0.0002849,0.00028742,0.0003381,0.00033362,0.00035378,0.00037982,0.00037618
Point 121,,,0.00011438,0.00015554,0.00014476,0.0001862,0.00024612,0.00030562,0.00030352,0.00036638,0.00035504,0.00040082,0.00040628,0.00044002
Point 122,,,,,0.00014966,0.00020426,0.00025214,0.00034076,0.00031178,0.00041482,0.0003633,0.0004697,0.00042042,0.0005285
Point 123,,,,,0.0001372,0.00020748,0.00023646,0.00034552,0.00029274,0.00042448,0.00034034,0.00048104,0.00038934,0.00054208
Point 124,,,,,0.00014742,0.00016324,0.00025074,0.0002688,0.00030842,0.00031836,0.00036218,0.00032732,0.00041426,0.00034608
Point 125,,,,,0.00013958,0.00017472,0.00024066,0.00028784,0.0002968,0.00034314,0.00034608,0.00036246,0.00039648,0.00039046
Point 126,,,,,0.0001414,0.00019068,0.0002422,0.0003171,0.00029904,0.00038304,0.00035112,0.0004242,0.00040292,0.00047068
Point 127,,,,,0.0001498,0.00019852,0.00025214,0.0003311,0.00031164,0.0004018,0.00036372,0.00045052,0.00041972,0.00050456
Point 128,,,,,0.0001414,0.00020608,0.00024178,0.0003444,0.00030016,0.00042266,0.00034916,0.0004795,0.00040124,0.00054054
Point 129,,,,,0.00014658,0.00022064,0.00024654,0.0003682,0.00030492,0.00045486,0.0003528,0.00052458,0.00040348,0.00060326
Point 130,,,0.00013867,0.00013426,0.00018753,0.00015148,0.00030429,0.00024598,0.00037681,0.00028714,0.00044597,0.00028462,0.00051849,0.00028826
Point 131,,,0.00014315,0.00014154,0.00019285,0.00016464,0.00031269,0.00027006,0.00038549,0.00031934,0.00045325,0.00032886,0.00052857,0.00034258
Point 132,,,,,0.00017654,0.00014504,0.00028938,0.00023394,0.0003577,0.00027244,0.00042406,0.00026544,0.00048986,0.000266
Point 133,,,,,0.00019033,0.00014665,0.00030751,0.00023583,0.00038045,0.00027405,0.00044989,0.00026677,0.00052297,0.00026621
Point 134,,,,,0.00017598,0.00016968,0.00028868,0.0002772,0.00035392,0.00032998,0.00041524,0.00034846,0.00048216,0.00037058
Point 135,,,,,0.00018991,0.000161,0.00030779,0.0002618,0.00037961,0.00030758,0.00044681,0.00031318,0.00051905,0.00032298
Point 136,,,,,0.00018186,0.00016744,0.00029652,0.00027384,0.00036484,0.00032466,0.00042756,0.00033866,0.00049784,0.00035742
Point 137,,,,,0.00018774,0.00017283,0.00030352,0.00028357,0.00037338,0.00033761,0.00043722,0.00035721,0.00050862,0.00037709
Point 138,,,,,0.00017115,0.00019047,0.00028189,0.00031612,0.00034391,0.0003815,0.00040005,0.0004242,0.00046249,0.00046872
Point 139,,,,,0.00018193,0.00019355,0.00029463,0.00032088,0.00036043,0.00038836,0.00041741,0.0004305,0.00048601,0.0004753
Point 140,,,,,0.00016002,0.00022834,0.00026544,0.00038353,0.0003248,0.00047999,0.00037128,0.00056203,0.0004228,0.00065807
Point 141,,,,,0.00015974,0.0001939,0.00026579,0.00032277,0.00032669,0.00038997,0.00038101,0.00043617,0.00043953,0.00048629
Point 142,,,,,0.00015029,0.00021189,0.00025403,0.00035448,0.00031409,0.00043708,0.00036477,0.00050022,0.00042021,0.00057106
Point 143,,,,,0.00015904,0.00021231,0.00026502,0.00035364,0.00032564,0.0004361,0.0003766,0.00050008,0.00043204,0.0005698
Point 144,,,,,0.00014252,0.00023947,0.00024262,0.00040145,0.00030142,0.00050659,0.0003458,0.00059885,0.00039116,0.00071029
Point 145,,,,,0.00015414,0.00023989,0.00025606,0.00040201,0.00031556,0.00050715,0.00035994,0.00059941,0.00040782,0.00071281
Point 146,,,,,0.00016877,0.000217,0.00027825,0.00036232,0.00033971,0.00044786,0.00038857,0.00051912,0.00044569,0.00059332
Point 147,,,,,0.00017857,0.00021434,0.00028973,0.00035784,0.00035385,0.00044254,0.00040411,0.00050974,0.00046571,0.0005775
Point 148,,,,,,,0.00021196,0.00016632,0.00025872,0.0001778,0.00029414,0.00014182,0.00033642,0.00011326
Point 149,,,,,,,0.00023394,0.00016702,0.00028616,0.0001785,0.00033502,0.00014182,0.00038346,0.00011298
Point 150,,,,,,,0.00024206,0.00018172,0.00029792,0.00019782,0.00035154,0.00016674,0.00040306,0.00014658
Point 151,,,,,,,0.00025858,0.00018284,0.00031766,0.0002009,0.00037842,0.00017122,0.00043274,0.0001505
Point 152,,,,,,,0.00027426,0.00017696,0.00033782,0.00019292,0.00039998,0.00015974,0.00045878,0.0001379
Point 153,,,,,,,0.00027566,0.00018606,0.00033936,0.00020552,0.00040306,0.00017598,0.00046326,0.00015694
Point 154,,,,,,,0.0002142,0.00019628,0.0002618,0.0002184,0.00029988,0.00019614,0.00033684,0.00017654
Point 155,,,,,,,0.0002142,0.00021014,0.0002618,0.0002387,0.00029624,0.00022386,0.00032928,0.00021882
Point 156,,,,,,,0.00023338,0.00019264,0.00028742,0.00021336,0.00033796,0.00018718,0.00038332,0.00017178
Point 157,,,,,,,0.00021896,0.00021336,0.00026768,0.00024332,0.00030464,0.00022862,0.00033348,0.00022386
Point 158,,,,,,,0.00021826,0.00022694,0.00026768,0.00026292,0.00030282,0.00025494,0.00032746,0.00026026
Point 159,,,,,,,0.00024472,0.00022288,0.00030212,0.00025634,0.00035504,0.00024626,0.00040208,0.0002429
Point 160,,,,,,,0.00021378,0.00024066,0.00026208,0.00027972,0.00029386,0.00027594,0.0003157,0.00028126
Point 161,,,,,,,0.00022554,0.00023688,0.00027734,0.00027566,0.00031626,0.00027118,0.00034762,0.00027594
Point 162,,,,,,,0.0002128,0.00025466,0.00026194,0.00030002,0.00029204,0.00029946,0.000315,0.0003059
Point 163,,,,,,,0.00022554,0.0002541,0.00027776,0.00029918,0.0003157,0.0002996,0.00034902,0.000308
Point 164,,,,,,,0.00022638,0.0002555,0.0002786,0.00030058,0.00031668,0.00030198,0.00035,0.00031038
Point 165,,,,,,,0.00023702,0.00026026,0.00029204,0.00030702,0.00033796,0.00031164,0.00037996,0.00032284
Point 166,,,,,,,0.00024388,0.0002394,0.00030002,0.0002786,0.0003514,0.00027524,0.00039676,0.0002814
Point 167,,,,,,,0.0002548,0.0002415,0.00031248,0.00028322,0.000371,0.00028098,0.00042224,0.00028798
Point 168,,,,,,,0.0002373,0.00026782,0.0002926,0.00031738,0.00034006,0.00032466,0.00038346,0.00033866
Point 169,,,,,,,0.00024612,0.0002765,0.0003031,0.0003283,0.00035616,0.00034132,0.00040824,0.00036344
Point 170,,,,,,,0.00028728,0.00018536,0.00035546,0.00020552,0.00042224,0.00017416,0.0004886,0.00015372
Point 171,,,,,,,0.00030226,0.0001855,0.0003745,0.00020468,0.00044254,0.00017164,0.00051282,0.00014868
Point 172,,,,,,,0.000315,0.00017584,0.00039102,0.00019096,0.0004606,0.00015204,0.000532,0.00012236
Point 173,,,,,,,0.0003024,0.00018102,0.00037464,0.00019852,0.0004417,0.00016436,0.00051142,0.00014
Point 174,,,,,,,0.00028784,0.00021,0.00035434,0.00023828,0.00041972,0.000217,0.00048524,0.00020832
